Alpha,Cl,Cd
-10.0000,-0.8195,0.0758
-9.7500,-0.8355,0.0703
-9.5000,-0.8519,0.0649
-9.2500,-0.8654,0.0598
-9.0000,-0.8743,0.0550
-8.7500,-0.8723,0.0510
-8.5000,-0.8537,0.0487
-8.2500,-0.8499,0.0451
-8.0000,-0.8371,0.0422
-7.7500,-0.8225,0.0398
-7.5000,-0.8044,0.0376
-7.2500,-0.7876,0.0354
-7.0000,-0.7691,0.0335
-6.7500,-0.7491,0.0319
-6.5000,-0.7296,0.0304
-6.2500,-0.7105,0.0289
-6.0000,-0.6919,0.0277
-5.7500,-0.6730,0.0266
-5.5000,-0.6548,0.0256
-5.2500,-0.6369,0.0248
-5.0000,-0.6195,0.0241
-4.7500,-0.6002,0.0237
-4.5000,-0.5816,0.0233
-4.2500,-0.5628,0.0230
-4.0000,-0.5431,0.0228
-3.7500,-0.5227,0.0228
-3.5000,-0.5030,0.0228
-3.2500,-0.4793,0.0230
-3.0000,-0.4493,0.0233
-2.7500,-0.4085,0.0238
-2.5000,-0.3500,0.0244
-2.2500,-0.2694,0.0248
-2.0000,-0.1829,0.0246
-1.7500,-0.1037,0.0241
-1.5000,-0.0223,0.0231
-1.2500,0.0255,0.0222
-1.0000,0.0285,0.0217
-0.7500,0.0275,0.0213
-0.5000,0.0225,0.0210
-0.2500,0.0128,0.0208
0.0000,0.0000,0.0208
0.2500,-0.0128,0.0208
0.5000,-0.0225,0.0210
0.7500,-0.0275,0.0213
1.0000,-0.0285,0.0217
1.2500,-0.0255,0.0222
1.5000,0.0223,0.0231
1.7500,0.1036,0.0241
2.0000,0.1829,0.0246
2.2500,0.2694,0.0248
2.5000,0.3499,0.0244
2.7500,0.4085,0.0238
3.0000,0.4492,0.0233
3.2500,0.4792,0.0230
3.5000,0.5030,0.0228
3.7500,0.5227,0.0228
4.0000,0.5431,0.0228
4.2500,0.5627,0.0230
4.5000,0.5816,0.0233
4.7500,0.6001,0.0237
5.0000,0.6194,0.0241
5.2500,0.6368,0.0248
5.5000,0.6547,0.0256
5.7500,0.6730,0.0266
6.0000,0.6919,0.0277
6.2500,0.7105,0.0289
6.5000,0.7295,0.0304
6.7500,0.7491,0.0319
7.0000,0.7691,0.0335
7.2500,0.7876,0.0354
7.5000,0.8044,0.0376
7.7500,0.8226,0.0398
8.0000,0.8372,0.0422
8.2500,0.8499,0.0451
8.5000,0.8538,0.0487
8.7500,0.8727,0.0509
9.0000,0.8743,0.0550
9.2500,0.8655,0.0598
9.5000,0.8520,0.0649
9.7500,0.8357,0.0703
10.0000,0.8198,0.0758
10.2500,0.6499,0.1054
10.5000,0.6743,0.1084
